months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,policy_age_days,incident_month,incident_dayofweek,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,no_witness_high_severity,no_police_but_injury,collision_type_missing,property_damage_missing,police_report_available_missing
328,48,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,sleeping,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,2004,1,100,1,6,50.89877817344393,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,0,0
228,42,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,other-relative,0,0,Vehicle Theft,,Minor Damage,Police,VA,Riverwood,8,1,,0,0,,5070,780,780,3510,Mercedes,E400,2007,1,3130,1,2,4.234810644660129,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,0,1,1,1
134,29,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007,0,5282,2,6,24.51986356624255,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,1,0,0,0
256,41,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,5,1,,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,1,8996,1,5,44.782234026021726,0.1,0.1,0.8,0,1,0,1,0
228,44,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,66000,-46000,Vehicle Theft,,Minor Damage,,NY,Arlington,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,0,256,2,1,4.1037685222013875,0.2,0.1,0.7,0,0,1,0,0
256,39,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003,1,3004,1,4,47.44282436533196,0.1,0.1,0.8,0,0,0,0,0
137,34,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,0,3,,0,0,,78650,21450,7150,50050,Nissan,Pathfinder,2012,0,5336,1,1,58.986762665466685,0.2727272727272727,0.09090909090909091,0.6363636363636364,0,0,0,1,1
165,37,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,23,3,,2,2,YES,51590,9380,9380,32830,Audi,A5,2015,0,9155,2,4,45.37259351116506,0.18181818181818182,0.18181818181818182,0.6363636363636364,0,0,0,1,0
27,33,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,0,6568,1,4,19.196252226280155,0.1,0.1,0.8,0,0,0,0,0
212,42,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,camping,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,14,1,NO,2,1,,42300,4700,4700,32900,Saab,92x,1996,0,1260,1,0,32.15067493615469,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0,0,0,1
235,42,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,22,1,YES,2,2,,87010,7910,15820,63280,Ford,F150,2002,0,4608,1,1,69.43469101123596,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0,0,1
447,61,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,0,5741,2,6,101.05877800837173,0.15384615384615385,0.15384615384615385,0.6923076923076923,0,0,0,0,0
60,23,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000,0,6272,1,3,46.5047393364929,0.08333333333333333,0.16666666666666666,0.75,1,1,0,0,0
